# Dataset Report: Dai (DAI)
# Coin Name: Dai
# Symbol: DAI
# Approx Row Count: 2962
# Date Range: 2017-12-20 to 2026-01-28
# Frequency: Daily
# Columns Present: open, high, low, close, Volume_DAI, Volume_USD
# --------------------------------------------------
Date,open,high,low,close,Volume_DAI,Volume_USD
2017-12-20,1.0,1.0,1.0,1.0,0.01,0.01
2017-12-21,1.0,1.0,1.0,1.0,0.0,0.0
2017-12-22,1.0,1.0,1.0,1.0,0.0,0.0
2017-12-23,1.0,1.0,1.0,1.0,49851.4,50100.65
2017-12-24,1.0,1.0,1.0,1.0,0.0,0.0
2017-12-25,1.0,1.0,1.0,1.0,0.0,0.0
2017-12-26,1.0,1.01,1.0,1.01,11977.34,12157.0
2017-12-27,1.01,1.01,1.01,1.01,12600.24,12789.25
2017-12-28,1.01,1.1,1.01,1.1,423.92,430.41
2017-12-29,1.1,1.1,1.1,1.1,11824.88,13007.36
2017-12-30,1.1,1.1,1.1,1.1,0.0,0.0
2017-12-31,1.1,1.1,1.1,1.1,0.0,0.0
2018-01-01,1.1,1.1,1.1,1.1,142.48,156.73
2018-01-02,1.1,1.1,1.1,1.1,0.0,0.0
2018-01-03,1.1,1.1,0.985,0.985,0.75,0.7388
2018-01-04,0.985,1.1,0.985,1.1,1145.61,1260.17
2018-01-05,1.1,1.1,1.1,1.1,0.0,0.0
2018-01-06,1.1,1.1,1.1,1.1,0.0,0.0
2018-01-07,1.1,1.1,1.1,1.1,0.0,0.0
2018-01-08,1.1,1.1,1.1,1.1,344.64,379.1
2018-01-09,1.1,1.1,1.1,1.1,386.74,425.41
2018-01-10,1.1,1.1,1.1,1.1,4731.85,5205.03
2018-01-11,1.1,1.1,1.1,1.1,90.0,99.0
2018-01-12,1.1,1.1,1.0,1.0,10924.85,11736.45
2018-01-13,1.0,1.0,0.997,1.0,167654.08,167512.71
2018-01-14,1.0,1.0,0.997,0.997,314269.97,313948.67
2018-01-15,0.997,1.0,0.997,1.0,28.08,28.22
2018-01-16,1.0,1.0,1.0,1.0,10390.33,10442.28
